article_id,finding_id,category,severity,confidence,decision,drop_reason,editor_notes,original_text,explanation_ar
ANAD-233963,FND-E-0003,attribution,medium,0.95,drop,optional_style,Attribution nag without a demonstrated unsupported factual leap.,مراقبون,إسناد عام مبهم (مراقبون).
ANAD-246086,FND-E-0001,attribution_strength,medium,0.95,drop,optional_style,Confirmation-verb softening is stylistic on published news; low interrupt value.,أكد أن,فعل تأكيد قد يقوّي الادعاء دون دليل إضافي.
SANAD-021543,FND-E-0007,attribution_strength,medium,0.95,drop,optional_style,Confirmation-verb softening is stylistic on published news; low interrupt value.,أكد أن,فعل تأكيد قد يقوّي الادعاء دون دليل إضافي.
SANAD-025580,FND-E-0006,attribution,medium,0.95,drop,too_low_impact,Vague-source phrasing is common published journalism; not a clear defect on silence-set external corpora (not AJ house style).,مصادر مطلعة,مصدر غير مسمّى يحتاج توضيحاً أو تلييناً.
SANAD-025580,FND-E-0007,attribution,medium,0.95,drop,too_low_impact,Vague-source phrasing is common published journalism; not a clear defect on silence-set external corpora (not AJ house style).,مصادر مطلعة,مصدر غير مسمّى يحتاج توضيحاً أو تلييناً.
SANAD-040837,FND-E-0003,attribution,medium,0.95,drop,too_low_impact,Vague-source phrasing is common published journalism; not a clear defect on silence-set external corpora (not AJ house style).,مصادر مطلعة,مصدر غير مسمّى يحتاج توضيحاً أو تلييناً.
SANAD-040837,FND-E-0004,attribution,medium,0.95,drop,too_low_impact,Vague-source phrasing is common published journalism; not a clear defect on silence-set external corpora (not AJ house style).,مصادر مطلعة,مصدر غير مسمّى يحتاج توضيحاً أو تلييناً.
SANAD-068491,FND-E-0003,attribution,medium,0.95,drop,too_low_impact,Vague-source phrasing is common published journalism; not a clear defect on silence-set external corpora (not AJ house style).,مصادر مطلعة,مصدر غير مسمّى يحتاج توضيحاً أو تلييناً.
SANAD-068491,FND-E-0004,attribution,medium,0.95,drop,too_low_impact,Vague-source phrasing is common published journalism; not a clear defect on silence-set external corpora (not AJ house style).,مصادر مطلعة,مصدر غير مسمّى يحتاج توضيحاً أو تلييناً.
SANAD-068584,FND-E-0001,attribution,medium,0.95,drop,too_low_impact,Vague-source phrasing is common published journalism; not a clear defect on silence-set external corpora (not AJ house style).,مصادر مطلعة,مصدر غير مسمّى يحتاج توضيحاً أو تلييناً.
SANAD-071296,FND-E-0003,attribution,medium,0.95,drop,too_low_impact,Vague-source phrasing is common published journalism; not a clear defect on silence-set external corpora (not AJ house style).,مصادر مطلعة,مصدر غير مسمّى يحتاج توضيحاً أو تلييناً.
SANAD-071296,FND-E-0004,attribution,medium,0.95,drop,too_low_impact,Vague-source phrasing is common published journalism; not a clear defect on silence-set external corpora (not AJ house style).,مصادر مطلعة,مصدر غير مسمّى يحتاج توضيحاً أو تلييناً.
SANAD-080601,FND-E-0005,attribution,medium,0.95,drop,too_low_impact,Vague-source phrasing is common published journalism; not a clear defect on silence-set external corpora (not AJ house style).,مصادر مطلعة,مصدر غير مسمّى يحتاج توضيحاً أو تلييناً.
SANAD-080601,FND-E-0006,attribution,medium,0.95,drop,too_low_impact,Vague-source phrasing is common published journalism; not a clear defect on silence-set external corpora (not AJ house style).,مصادر مطلعة,مصدر غير مسمّى يحتاج توضيحاً أو تلييناً.
SANAD-089298,FND-E-0006,attribution_strength,medium,0.95,drop,optional_style,Confirmation-verb softening is stylistic on published news; low interrupt value.,أكد أن,فعل تأكيد قد يقوّي الادعاء دون دليل إضافي.
SANAD-089298,FND-E-0007,attribution_strength,medium,0.95,drop,optional_style,Confirmation-verb softening is stylistic on published news; low interrupt value.,أكد أن,فعل تأكيد قد يقوّي الادعاء دون دليل إضافي.
ANAD-015348,FND-AI-0001,headline_body_mismatch,high,1.0,drop,incorrect_rule,"Explanation invents that the program still requires an invite; body uses past-tense invite wall and says Passport members were made eligible. Treat as incorrect contradiction claim / hedging, not a keep.",مايكروسوفت تفتح برنامج Windows Live Messenger,يتناقض العنوان الذي يفيد بأن مايكروسوفت 'تفتح' البرنامج بشكل قاطع مع نص المقال الذي يذكر أن البرنامج 'لا يزال يتطلب دعوة للدخول' وأن الخبر مستند إلى 'بعض المواقع المتخصصة' وليس إعلاناً رسمياً من مايكروسوفت بفتحه للجميع.
ANAD-049216,FND-AI-0001,headline_body_mismatch,high,1.0,keep,,Material contradiction claimed between headline/body (or internal spans).,الجديدة كليا,يصف العنوان السيارات بأنها 'جديدة كليا'، بينما يوضح متن المقال (SEG-002) أن القائمة ستشمل 'السيارات السيدان الجديدة كليا أو التي شهدت تغييرات ملحوظة في التصميم'. هذا التناقض قد يضلل القارئ حول محتوى المقال.
ANAD-136139,FND-AI-1,headline_body_mismatch,high,1.0,keep,,Material contradiction claimed between headline/body (or internal spans).,الشباب يتعادل مع فيلنو في معسكر هولندا,تتناقض معلومات الموقع الجغرافي للمباراة المذكورة في العنوان مع ما ورد في الفقرة الأولى من النص. العنوان يذكر أن المباراة كانت في 'معسكر هولندا'، بينما النص يوضح أنها أقيمت في 'معسكر الفريق بالنمسا'.
ANAD-211552,FND-AI-0001,headline_body_mismatch,high,1.0,keep,,Material contradiction claimed between headline/body (or internal spans).,الخارجية تعلن إطلاق سراح 6 مصريين كانوا مختطفين بليبيا,العنوان يشير إلى 'إطلاق سراح' المواطنين المصريين، بينما يوضح متن الخبر لاحقًا (في SEG-002) أنهم 'محتجزون حاليًا لدى السلطات المحلية' وأن العمل جارٍ على اتخاذ الترتيبات لعودتهم. هذا التناقض بين العنوان ومحتوى الخبر قد يضلل القارئ حول الوضع الفعلي للمواطنين.
ANAD-213771,FND-AI-0001,publisher_voice,high,1.0,drop,headline_compression,Headline states figure that body attributes; normal news compression.,3 قتلى,العنوان يقدم عدد القتلى كحقيقة مؤكدة بصوت الناشر، بينما يعزو النص في المتن هذا العدد إلى 'مصادر قبلية'، مما قد يخل بمبدأ الحفاظ على نسبة القول إلى المصدر ويضفي على المعلومة طابعاً قطعياً غير موجود في المتن.
ANAD-334801,FND-AI-0001,headline_body_mismatch,high,1.0,drop,headline_compression,Ordinary headline compression/angle without material contradiction.,الاسترليني يهبط وسط توقعات بعدم فوز المحافظين بأغلبية في برلمان بريطانيا,يتناول العنوان هبوط الجنيه الإسترليني وتوقعات الانتخابات البريطانية، بينما تتحدث الفقرات المتوفرة من المقال (SEG-003 و SEG-007) عن اليورو والدولار والين والتضخم في أوروبا، مما يشير إلى عدم تطابق بين العنوان ومحتوى المقال المقدم.
ANAD-336524,FND-AI-ANAD-336524-001,headline_body_mismatch,high,1.0,uncertain,,"Headline claim may be unsupported, but excerpt is too short to adjudicate.",حاكم دبي: إعمار والدار ستدشنان مشروعات بقيمة 8.2 مليار دولار,العنوان ينسب تصريحًا محددًا (بشأن إعمار والدار وقيمة المشروعات) إلى حاكم دبي، لكن نص المقال المتاح (SEG-002) لا يحتوي على هذا التصريح أو تفاصيله، بل يذكر فقط أن الشيخ محمد شهد توقيع اتفاقية. هذا يشكل تضاربًا بين العنوان ومحتوى النص المتاح، حيث أن الادعاء الرئيسي في العنوان غير مدعوم بالتفاصيل في النص.
SANAD-113260,FND-AI-0002,headline_body_mismatch,high,1.0,uncertain,,Explanation cites player denial that is absent from the supplied excerpt; keep is unsupported. Prefer uncertain until fuller text is available.,"كشف مقدم برنامج ""كافيه فوتبول"" البلوندي الشهير, ماتيوسز بوريك أن مهاجم بروسيا دورتموند الحالي, روبرت ليفاندوفسكي، سيعلن انتقاله بصورة سمية إلى بايرن ميونخ الألم…",يتناقض العنوان مع محتوى المقال، حيث يقدم العنوان خبر انتقال ليفاندوفسكي كحقيقة مؤكدة بناءً على مصدر واحد، بينما يذكر المقال لاحقًا (في SEG-002) أن اللاعب نفى صحة هذه التقارير، مما يؤدي إلى تضليل القارئ ويخلق تضاربًا بين العنوان ومحتوى النص.
SANAD-114154,FND-AI-114154-001,headline_body_mismatch,high,1.0,keep,,Material contradiction claimed between headline/body (or internal spans).,المهمة الصعبة التي تنتظر فريقهم للحفاظ على آماله بالحصول على لقب الدوري الغائب عنه منذ م…,العنوان يشير إلى أن المباراة لم تحدث بعد وأن آمال الفريق لا تزال قائمة للحفاظ على لقب الدوري، بينما يوضح نص المقال في الفقرة الختامية (SEG-002) أن المباراة قد انتهت بالفعل وأن آمال الفريق قد قُتلت بخسارته. هذا تناقض مباشر بين العنوان ومحتوى المقال حول نتيجة الحدث الرئيسي.
ANAD-207095,FND-AI-0003,headline_body_mismatch,high,0.95,uncertain,,"Explanation cites authorities stopping deportation, but that claim is absent from the supplied excerpt; keep is unsupported. Prefer uncertain.",تظاهرات تطالب قطر بمنع ترحيل مسلم من الإيغور إلى الصين,"العنوان يشير إلى أن التظاهرات تطالب بمنع ترحيل لا يزال مهددًا، بينما يذكر متن المقال لاحقًا (في SEG-002) أن السلطات القطرية ""توقفت عن ترحيل عبدالحكيم يوسف"". هذا يخلق تناقضًا بين حالة الترحيل المذكورة في العنوان والوضع الفعلي المذكور في المتن، مما قد يضلل القارئ حول التطورات الأخيرة."
SANAD-083088,FND-AI-0003,publisher_voice,high,0.95,keep,,Publisher voice presents analysis as fact without attribution.,وجاء التمديد للأمير بندر ل إسكات الشائعات التي أطلقتها الصحافة الغربية مؤخرا عن السفير السعودي السابق لدى واشنطن.,الفقرة تقدم تفسيراً لسبب التمديد (إسكات الشائعات) كحقيقة مؤكدة بصوت الناشر، بينما هو تحليل أو استنتاج غير منسوب لمصدر رسمي أو موثوق. يجب إسناد هذا التفسير إلى مصدره أو إعادة صياغته كاحتمال أو رأي.
ANAD-029457,FND-AI-0001,headline_body_mismatch,high,0.9,drop,headline_compression,"Certainty/hedging mismatch is ordinary news headline compression, not a material fact conflict.",نسخة سكايب لويندوز 8 قادمة قريباً,يتناقض عنوان المقال الذي يقدم المعلومة كحقيقة مؤكدة مع محتوى المقال الذي يشير إلى أن الخبر مجرد شائعات ودلائل غير رسمية، وأن مايكروسوفت رفضت التعليق على الموضوع ولم تصدر تصريحات رسمية. هذا التناقض قد يضلل القارئ حول مستوى اليقين في الخبر.
ANAD-145683,FND-AI-2,headline_body_mismatch,high,0.9,drop,headline_compression,"Certainty/hedging mismatch is ordinary news headline compression, not a material fact conflict.",البلوي يتفق مع الهزازي,"العنوان يشير إلى اتفاق مؤكد بين رئيس النادي إبراهيم البلوي واللاعب إبراهيم الهزازي، بينما يذكر نص المقال أن عودة الهزازي لا تزال غير مؤكدة (""واﻷيام القادمة ستحدد عودته أم الذهاب ﻷحد أندية دوري جميل للمحترفين"")، مما يخلق تناقضًا مباشرًا في مستوى اليقين بين العنوان والمحتوى."
ANAD-347449,FND-AI-0003,headline_body_mismatch,high,0.8,drop,headline_compression,"Certainty/hedging mismatch is ordinary news headline compression, not a material fact conflict.",المفوضية الأوروبية تدرس الموافقة على خطة التعافي في نوفمبر,المانشيت يقدم دراسة المفوضية للموافقة كحقيقة مؤكدة ('تدرس الموافقة')، بينما يشير متن الخبر إلى أن الموافقة 'ربما' تحدث بناءً على مصادر غير مسماة، مما يمثل تضارباً في مستوى اليقين ونسبة القول.
ANAD-081530,FND-AI-0001,headline_body_mismatch,medium,1.0,drop,headline_compression,"Certainty/hedging mismatch is ordinary news headline compression, not a material fact conflict.",مفرج الهلال ونجعي النصر ينافسان هزازي في رومانيا,العنوان يقدم حدثًا مستقبليًا محتملاً كحقيقة مؤكدة، بينما يوضح نص المقال أن انضمام اللاعبين ومنافستهم مشروط ومستقبلي (وفي حال انضمام... سينافسان). هذا يمثل تصعيدًا في اليقين وتناقضًا بين العنوان والمحتوى.
ANAD-418136,FND-AI-0001,headline_body_mismatch,medium,1.0,drop,headline_compression,Ordinary headline compression/angle without material contradiction.,ميتسوبيشي ميراج 2020 تتحول لكروس أوفر بقاعدة نيسان جوك,يتضمن العنوان معلومة مؤكدة ('تتحول') بينما يشير نص المقال إلى أن هذه المعلومة مستندة إلى 'تقرير ياباني' و'مصادر'. هذا يمثل تصعيدًا في اليقين ويخالف مبدأ الحفاظ على نسبة القول إلى المصدر.
SANAD-106974,FND-AI-0001,publisher_voice,medium,1.0,drop,headline_compression,Ordinary headline compression/angle without material contradiction.,"قناة ZDF الألمانية تحسم الأمر.. مونديال البرازيل سينقل بالمجان على هذا ""القمرالصناعي"" فقط!",يبدأ المقال بتقديم معلومة حاسمة وادعاء واقعي بصوت الناشر في هذه الفقرة، قبل أن يتم إسناد هذه المعلومات إلى مصدر محدد (توماس ستانج) في الفقرة اللاحقة (SEG-004). هذا يخالف مبدأ الحفاظ على نسبة القول إلى المصدر، حيث يتم تقديم المعلومة كحقيقة مقررة من قبل الناشر بدلاً من كونها قولاً منسوباً.
ANAD-100434,FND-AI-1,headline_body_mismatch,medium,0.9,drop,headline_compression,"Certainty/hedging mismatch is ordinary news headline compression, not a material fact conflict.",براءة هزازي في قضية البصق على يتيم,يتناقض عنوان المقال الذي يذكر براءة هزازي كحقيقة مؤكدة مع نص المقال الذي يشير إلى أن إعلان البراءة سيتم 'في غضون الساعات المقبلة' بناءً على 'مصادر صحفية'. هذا يمثل تضارباً في مستوى اليقين بين العنوان والنص، حيث يقدم العنوان معلومة حاسمة لم يتم تأكيدها رسمياً بعد في وقت كتابة المقال.
ANAD-171473,FND-AI-ANAD-171473-1,headline_body_mismatch,medium,0.9,drop,headline_compression,Ordinary headline compression/angle without material contradiction.,"""مكالمة هاتفية"" تبقي برونو في النصر","المانشيت ينسب بقاء اللاعب برونو إلى ""مكالمة هاتفية"" بشكل مباشر، مما يوحي بأنها السبب الرئيسي أو الوحيد. بينما يوضح متن المقال أن المكالمة كانت أحد العوامل المساهمة (""ساهم اتصال الأمير فيصل بن تركي..."")، ويضيف عوامل أخرى مثل رغبة اللاعب والمطالبات الجماهيرية، والأهم من ذلك، أن ""الموقف القانوني لنادي النصر وامتلاكه لعقد برونو، ساهم في رضوخه بالبقاء"". كلمة ""رضوخه"" (خضوعه/إذعانه) تشير إلى قرار قسري أو إلزامي بسبب الوضع القانوني، وهو ما يختلف جوهريًا عن الإيحاء في المانشيت بأن المكالمة كانت كافية لإبقائه، مما قد يشكل تحريفًا جوهريًا لسياق القرار."
ANAD-203602,FND-AI-0001,headline_body_mismatch,medium,0.9,keep,,Material contradiction claimed between headline/body (or internal spans).,أميركا ضحية كورونا الأولى,"العنوان يصف أميركا بأنها ""ضحية كورونا الأولى""، مما يوحي بأنها الدولة الأكثر تضرراً عالمياً. ومع ذلك، تشير الأرقام في متن المقال إلى أن حصيلة الوفيات في أوروبا (73,948) والعالم (107,064) أعلى بكثير من حصيلة الوفيات في الولايات المتحدة (20,071). هذا يخلق تضارباً محتملاً في الادعاء الرئيسي للعنوان ما لم يكن المقصود هو ""الأولى"" بين الدول الفردية المذكورة، وهو ما لا يوضحه العنوان بشكل كافٍ."
ANAD-439722,FND-AI-0002,headline_body_mismatch,medium,0.9,drop,headline_compression,Ordinary headline compression/angle without material contradiction.,رفع كامل للقيود على مغادرة المواطنين للمملكة والعودة إليها وفتح جميع المنافذ بعد 1 يناير 2021,"العنوان الرئيسي يشير إلى رفع كامل للقيود وفتح جميع المنافذ فقط بعد 1 يناير 2021. ومع ذلك، يوضح نص المقال في البند ""ثانيًا"" وجود استثناءات ورفع جزئي للتعليق قبل هذا التاريخ، مما يجعل العنوان مضللاً بشأن النطاق والتوقيت الفعلي للقرار."
SANAD-141437,FND-AI-0003,headline_body_mismatch,medium,0.9,keep,,Material contradiction claimed between headline/body (or internal spans).,4 مشاريع الكترونية وهي المشروع الإلكتروني ويشمل 6 خدمات متنوعه,صياغة العنوان '4 مشاريع الكترونية وهي المشروع الإلكتروني ويشمل 6 خدمات متنوعه' قد توحي بأن المشاريع الأربعة هي المشروع الإلكتروني نفسه الذي يضم 6 خدمات. بينما يوضح نص المقال أن المشروع الإلكتروني (بخدماته الست) هو واحد من أربعة مشاريع مختلفة تقدمها الوزارة. هذا التضارب قد يسبب التباسًا للقارئ حول طبيعة المشاريع المعروضة.
ANAD-452990,FND-AI-0001,headline_body_mismatch,medium,0.8,drop,headline_compression,Ordinary headline compression/angle without material contradiction.,الليث يتحدى قوة شبيبة الجزائر,"العنوان يصور ""الليث"" (نادي الشباب) على أنه يتحدى قوة ""شبيبة الجزائر"". ومع ذلك، يذكر نص المقال أن الفريق الجزائري (شبيبة الساورة) ""يريد أن يعلن التحدي مبكرا""، بينما يصف نادي الشباب بأنه ""باحثا عن نتيجة إيجابية"" و""يريد تحسين الصورة"". هذا يخلق تباينًا في تحديد الطرف الذي يبادر بـ ""التحدي""، مما قد يؤثر على فهم القارئ لديناميكية المباراة."
SANAD-057777,FND-AI-0001,clarity,high,1.0,drop,optional_style,Headline rewrite preference without a concrete comprehension failure.,بالفيديو,العنوان الرئيسي غير وصفي ويفتقر إلى المعلومات الأساسية حول محتوى المقال، مما قد يؤثر على وضوح المحتوى وقابليته للاكتشاف. العنوان الفعلي للمحتوى يبدو أنه موجود في الفقرة الأولى من النص.
ANAD-000848,FND-M-0010,clarity,low,1.0,drop,too_low_impact,Long-paragraph split preference; no concrete ambiguity.,للشعراء طرقٌ كثيرةٌ ,مقطع طويل جداً قد يحتاج إعادة تقسيم.
ANAD-029457,FND-M-0005,clarity,low,1.0,drop,too_low_impact,Long-paragraph split preference; no concrete ambiguity.,ترددت مؤخراً بعض الأ,مقطع طويل جداً قد يحتاج إعادة تقسيم.
ANAD-032468,FND-M-0012,clarity,low,1.0,drop,too_low_impact,Long-paragraph split preference; no concrete ambiguity.,طور علماء الحاسب في ,مقطع طويل جداً قد يحتاج إعادة تقسيم.
ANAD-038468,FND-M-0007,clarity,low,1.0,drop,too_low_impact,Long-paragraph split preference; no concrete ambiguity.,أعلنت شركة سامسونج ع,مقطع طويل جداً قد يحتاج إعادة تقسيم.
ANAD-050751,FND-M-0006,clarity,low,1.0,drop,too_low_impact,Long-paragraph split preference; no concrete ambiguity.,يساعد نقع اللوز في ا,مقطع طويل جداً قد يحتاج إعادة تقسيم.
ANAD-081530,FND-M-0001,clarity,low,1.0,drop,optional_style,Clarity suggestion without a specific defect.,2,خلط بين الأرقام العربية واللاتينية في المقطع.
ANAD-109931,FND-M-0002,clarity,low,1.0,drop,too_low_impact,Long-paragraph split preference; no concrete ambiguity.,بعد تأهل منتخب فرنسا,مقطع طويل جداً قد يحتاج إعادة تقسيم.
ANAD-139392,FND-M-0002,clarity,low,1.0,drop,optional_style,Clarity suggestion without a specific defect.,٤,خلط بين الأرقام العربية واللاتينية في المقطع.
ANAD-147096,FND-M-0001,clarity,low,1.0,drop,optional_style,Clarity suggestion without a specific defect.,٤,خلط بين الأرقام العربية واللاتينية في المقطع.
ANAD-201791,FND-M-0002,clarity,low,1.0,drop,too_low_impact,Long-paragraph split preference; no concrete ambiguity.,بعض الأمراض والأحوال,مقطع طويل جداً قد يحتاج إعادة تقسيم.
ANAD-225223,FND-M-0008,clarity,low,1.0,drop,too_low_impact,Long-paragraph split preference; no concrete ambiguity.,مسؤولون عن مخيم الهو,مقطع طويل جداً قد يحتاج إعادة تقسيم.
ANAD-233963,FND-M-0002,clarity,low,1.0,drop,too_low_impact,Long-paragraph split preference; no concrete ambiguity.,الرئيس الروسي #فلادي,مقطع طويل جداً قد يحتاج إعادة تقسيم.
ANAD-432114,FND-M-0007,clarity,low,1.0,drop,too_low_impact,Long-paragraph split preference; no concrete ambiguity.,فيما أوضحت مؤسسة الن,مقطع طويل جداً قد يحتاج إعادة تقسيم.
ANAD-439722,FND-M-0018,clarity,low,1.0,drop,too_low_impact,Long-paragraph split preference; no concrete ambiguity.,صرَّح مصدر مسؤول في ,مقطع طويل جداً قد يحتاج إعادة تقسيم.
ANAD-491461,FND-M-0001,clarity,low,1.0,drop,optional_style,Clarity suggestion without a specific defect.,2,خلط بين الأرقام العربية واللاتينية في المقطع.
ANAD-495164,FND-M-0016,clarity,low,1.0,drop,too_low_impact,Long-paragraph split preference; no concrete ambiguity.,يواصل مركز القيادة و,مقطع طويل جداً قد يحتاج إعادة تقسيم.
SANAD-023844,FND-M-0005,clarity,low,1.0,drop,too_low_impact,Long-paragraph split preference; no concrete ambiguity.,تحديات جسام ستوضع عل,مقطع طويل جداً قد يحتاج إعادة تقسيم.
