article_id,baseline_findings,candidate_findings,baseline_editorial,candidate_editorial,delta_all,delta_editorial
ANAD-132203,0,2,0,2,2,2
ANAD-132909,0,1,0,1,1,1
ANAD-134035,3,0,0,0,-3,0
ANAD-134141,4,0,0,0,-4,0
ANAD-136139,1,1,1,1,0,0
ANAD-137449,0,0,0,0,0,0
ANAD-139392,2,1,1,1,-1,0
ANAD-142638,0,0,0,0,0,0
ANAD-145683,1,0,1,0,-1,-1
ANAD-146037,1,0,0,0,-1,0
ANAD-146589,0,0,0,0,0,0
ANAD-147096,1,1,1,1,0,0
ANAD-148889,5,0,2,0,-5,-2
ANAD-149043,2,0,0,0,-2,0
ANAD-152893,2,0,0,0,-2,0
ANAD-158653,0,0,0,0,0,0
ANAD-160535,0,0,0,0,0,0
ANAD-164405,1,2,0,2,1,2
ANAD-164590,0,0,0,0,0,0
ANAD-164616,0,0,0,0,0,0
ANAD-166538,0,1,0,1,1,1
ANAD-168551,2,2,2,2,0,0
ANAD-171473,1,0,1,0,-1,-1
ANAD-185945,2,3,2,3,1,1
ANAD-189478,1,1,1,1,0,0
ANAD-190605,0,0,0,0,0,0
ANAD-198762,0,0,0,0,0,0
ANAD-201791,2,2,1,2,0,1
ANAD-203602,2,0,1,0,-2,-1
ANAD-204137,0,1,0,1,1,1
ANAD-205123,1,2,0,2,1,2
ANAD-205601,2,2,2,2,0,0
ANAD-207095,3,2,3,2,-1,-1
ANAD-209557,0,1,0,1,1,1
ANAD-211552,2,1,1,1,-1,0
ANAD-213202,1,1,1,1,0,0
ANAD-213771,3,0,2,0,-3,-2
ANAD-216325,5,3,4,3,-2,-1
ANAD-225223,4,2,2,2,-2,0
ANAD-229646,3,1,0,1,-2,1
ANAD-233963,3,2,2,2,-1,0
ANAD-238125,0,0,0,0,0,0
ANAD-246086,2,3,2,3,1,1
ANAD-246442,2,0,0,0,-2,0
ANAD-247893,5,3,5,3,-2,-2
ANAD-264816,0,0,0,0,0,0
ANAD-269330,4,2,2,2,-2,0
ANAD-274176,2,2,2,2,0,0
ANAD-281218,0,0,0,0,0,0
ANAD-297485,0,0,0,0,0,0
ANAD-307738,2,0,1,0,-2,-1
ANAD-308693,0,0,0,0,0,0
ANAD-309614,3,0,0,0,-3,0
ANAD-312221,0,0,0,0,0,0
ANAD-312876,2,0,0,0,-2,0
ANAD-313962,4,0,0,0,-4,0
ANAD-328954,2,0,0,0,-2,0
ANAD-331445,0,0,0,0,0,0
ANAD-331983,0,0,0,0,0,0
ANAD-333611,1,0,0,0,-1,0
ANAD-334801,2,0,1,0,-2,-1
ANAD-336524,1,1,1,1,0,0
ANAD-344049,1,0,0,0,-1,0
ANAD-347449,2,0,1,0,-2,-1
ANAD-348488,0,0,0,0,0,0
ANAD-358180,0,0,0,0,0,0
ANAD-366517,2,0,0,0,-2,0
ANAD-370725,2,0,1,0,-2,-1
ANAD-371910,3,1,0,1,-2,1
ANAD-379441,2,1,0,1,-1,1
ANAD-380840,1,0,0,0,-1,0
ANAD-380875,1,1,0,1,0,1
ANAD-388474,0,0,0,0,0,0
ANAD-392361,2,1,2,1,-1,-1
ANAD-401600,0,0,0,0,0,0
ANAD-412123,2,0,0,0,-2,0
ANAD-416154,2,0,0,0,-2,0
ANAD-418136,3,1,2,1,-2,-1
ANAD-421089,0,0,0,0,0,0
ANAD-425200,1,1,1,1,0,0
ANAD-426405,1,0,0,0,-1,0
ANAD-428233,1,0,0,0,-1,0
ANAD-429574,1,0,0,0,-1,0
ANAD-432114,3,2,2,2,-1,0
ANAD-433183,0,0,0,0,0,0
ANAD-435017,0,1,0,1,1,1
ANAD-438288,1,0,0,0,-1,0
ANAD-439722,4,1,2,1,-3,-1
ANAD-439980,0,0,0,0,0,0
ANAD-443219,4,1,2,1,-3,-1
ANAD-443448,1,3,1,3,2,2
ANAD-448709,0,0,0,0,0,0
ANAD-451532,0,0,0,0,0,0
ANAD-451900,0,0,0,0,0,0
ANAD-452990,2,1,1,1,-1,0
ANAD-456311,1,0,0,0,-1,0
ANAD-461404,3,0,0,0,-3,0
ANAD-462020,1,0,0,0,-1,0
ANAD-466563,0,0,0,0,0,0
ANAD-467486,2,0,0,0,-2,0
ANAD-475730,2,0,0,0,-2,0
ANAD-481757,1,0,0,0,-1,0
ANAD-486282,0,0,0,0,0,0
ANAD-490720,6,0,0,0,-6,0
ANAD-491407,1,0,0,0,-1,0
ANAD-491461,1,1,1,1,0,0
ANAD-495164,3,1,1,1,-2,0
ANAD-495241,0,1,0,1,1,1
ANAD-496306,1,0,0,0,-1,0
SANAD-000032,3,1,0,1,-2,1
SANAD-002929,2,1,1,1,-1,0
SANAD-003103,2,1,0,1,-1,1
SANAD-005957,12,0,0,0,-12,0
SANAD-008976,0,0,0,0,0,0
SANAD-009337,0,0,0,0,0,0
SANAD-010557,0,1,0,1,1,1
SANAD-015661,1,0,0,0,-1,0
SANAD-015791,0,0,0,0,0,0
SANAD-016118,2,0,0,0,-2,0
SANAD-021543,2,1,1,1,-1,0
SANAD-021751,0,0,0,0,0,0
SANAD-022859,0,0,0,0,0,0
SANAD-023297,0,0,0,0,0,0
SANAD-023844,4,2,2,2,-2,0
SANAD-025580,5,2,2,2,-3,0
SANAD-026275,2,1,1,1,-1,0
SANAD-027047,1,0,0,0,-1,0
SANAD-028226,2,1,1,1,-1,0
SANAD-031354,3,2,2,2,-1,0
SANAD-031455,1,1,1,1,0,0
SANAD-033225,1,0,0,0,-1,0
SANAD-033649,3,1,1,1,-2,0
SANAD-035640,0,0,0,0,0,0
SANAD-036358,6,3,3,3,-3,0
SANAD-036942,2,2,1,2,0,1
SANAD-037273,1,1,0,1,0,1
SANAD-039318,1,1,1,1,0,0
SANAD-039882,2,0,0,0,-2,0
SANAD-039901,2,0,0,0,-2,0
SANAD-040837,4,2,2,2,-2,0
SANAD-041948,0,0,0,0,0,0
SANAD-042391,5,2,2,2,-3,0
SANAD-044200,1,1,0,1,0,1
SANAD-044516,3,0,0,0,-3,0
SANAD-044670,4,0,0,0,-4,0
SANAD-045822,4,0,0,0,-4,0
SANAD-046029,1,0,0,0,-1,0
SANAD-047718,2,0,0,0,-2,0
SANAD-048191,2,0,0,0,-2,0
SANAD-049430,3,1,1,1,-2,0
SANAD-049492,2,1,1,1,-1,0
SANAD-050127,24,3,2,3,-21,1
SANAD-050198,3,1,1,1,-2,0
SANAD-050969,2,1,0,1,-1,1
SANAD-052297,8,0,0,0,-8,0
SANAD-052679,1,0,0,0,-1,0
SANAD-055926,0,0,0,0,0,0
SANAD-057777,2,0,1,0,-2,-1
SANAD-059171,0,0,0,0,0,0
SANAD-059240,1,0,0,0,-1,0
SANAD-060349,3,2,1,2,-1,1
SANAD-065884,2,0,0,0,-2,0
SANAD-067080,3,0,0,0,-3,0
SANAD-067598,18,0,0,0,-18,0
SANAD-068491,4,2,2,2,-2,0
SANAD-068584,1,1,1,1,0,0
SANAD-068679,0,0,0,0,0,0
SANAD-068864,5,1,2,1,-4,-1
SANAD-070167,6,0,1,0,-6,-1
SANAD-071296,4,2,2,2,-2,0
SANAD-071801,2,0,0,0,-2,0
SANAD-071811,1,0,1,0,-1,-1
SANAD-073231,2,3,0,3,1,3
SANAD-074502,6,2,2,2,-4,0
SANAD-074855,1,4,1,4,3,3
SANAD-076312,0,2,0,2,2,2
SANAD-077680,0,0,0,0,0,0
SANAD-078023,1,0,0,0,-1,0
SANAD-078041,7,0,0,0,-7,0
SANAD-078226,2,2,0,2,0,2
SANAD-079085,3,0,0,0,-3,0
SANAD-080601,5,2,2,2,-3,0
SANAD-081093,3,0,0,0,-3,0
SANAD-081131,3,2,2,2,-1,0
SANAD-081234,1,0,0,0,-1,0
SANAD-083088,2,0,1,0,-2,-1
SANAD-083180,1,0,0,0,-1,0
SANAD-083623,4,3,3,3,-1,0
SANAD-083802,1,0,0,0,-1,0
SANAD-084032,0,0,0,0,0,0
SANAD-084264,3,0,1,0,-3,-1
SANAD-084517,3,2,2,2,-1,0
SANAD-085046,3,2,2,2,-1,0
SANAD-086017,3,1,1,1,-2,0
SANAD-087877,4,0,0,0,-4,0
SANAD-088746,1,0,0,0,-1,0
SANAD-089298,6,2,2,2,-4,0
SANAD-090387,4,0,2,0,-4,-2
SANAD-091310,1,0,0,0,-1,0
SANAD-092095,0,0,0,0,0,0
SANAD-092396,1,0,0,0,-1,0
SANAD-093313,1,0,0,0,-1,0
SANAD-094125,1,0,0,0,-1,0
SANAD-095152,1,0,0,0,-1,0
SANAD-095996,1,0,0,0,-1,0
SANAD-096951,3,0,0,0,-3,0
SANAD-098610,2,0,0,0,-2,0
SANAD-099402,0,0,0,0,0,0
SANAD-101327,2,0,0,0,-2,0
SANAD-101680,3,1,1,1,-2,0
SANAD-102133,5,0,0,0,-5,0
SANAD-105347,1,0,0,0,-1,0
SANAD-105526,7,1,1,1,-6,0
SANAD-105885,5,0,0,0,-5,0
SANAD-106072,2,0,0,0,-2,0
SANAD-106656,1,0,0,0,-1,0
SANAD-106974,5,1,2,1,-4,-1
SANAD-107444,16,0,0,0,-16,0
SANAD-108288,1,0,0,0,-1,0
SANAD-108570,3,0,0,0,-3,0
SANAD-108812,2,0,0,0,-2,0
SANAD-110441,4,0,1,0,-4,-1
SANAD-110453,1,1,1,1,0,0
SANAD-111719,0,0,0,0,0,0
SANAD-112357,1,0,0,0,-1,0
SANAD-113260,2,1,1,1,-1,0
SANAD-114154,1,1,1,1,0,0
SANAD-115667,3,1,2,1,-2,-1
SANAD-115702,1,0,0,0,-1,0
SANAD-118194,0,0,0,0,0,0
SANAD-119457,1,0,0,0,-1,0
SANAD-121179,2,0,0,0,-2,0
SANAD-121407,3,2,2,2,-1,0
SANAD-122151,3,1,1,1,-2,0
SANAD-122191,1,0,0,0,-1,0
SANAD-122948,9,7,8,7,-2,-1
SANAD-125953,0,0,0,0,0,0
SANAD-126227,2,0,0,0,-2,0
SANAD-127083,2,0,0,0,-2,0
SANAD-128283,1,0,0,0,-1,0
SANAD-129074,0,0,0,0,0,0
SANAD-129081,5,1,2,1,-4,-1
SANAD-129124,6,2,0,2,-4,2
SANAD-129525,1,0,0,0,-1,0
SANAD-129664,0,0,0,0,0,0
SANAD-130470,2,1,0,1,-1,1
SANAD-132784,1,0,0,0,-1,0
SANAD-135672,1,0,0,0,-1,0
SANAD-137465,2,2,0,2,0,2
SANAD-138007,2,0,0,0,-2,0
SANAD-138055,1,0,0,0,-1,0
SANAD-138967,1,0,0,0,-1,0
SANAD-141437,4,0,1,0,-4,-1
